topic,item,label,ldavis_number,text,response_dt
t_3,202,plan treatment faculty treatment_plan time finding note check,4,"I would like to be more efficient with my computer work. I am learning more and more everyday about using the computer more effectively, however, I still struggle with troubleshooting when problems arise with Axium (i.e. today I was unable to get the pt. signature at first because I was missing something in Axium). I was not sure why I could not pull up the signature until Dr. Pobocik came over and helped me figure out what was going wrong. This efficiency will come with time and familiarity with Axium, I t",2021-05-25T14:46:52Z
t_12,1030,caries tooth time lesion confident remove identify stain,14,Gaining better judgement on what is significant enough in margin changes in radiographs.,2021-05-25T15:22:59Z
t_11,1415,time work appointment efficient exam fast clean speed,1,"I would like to work on efficiency and developing a routine for which scalers/curettes I like working with, so that I can work quickly and efficiently in clinic",2021-05-25T15:41:29Z
t_10,891,hand time instrument work scale position improve patient,2,Next time I would like to be able to hand scale more efficiently,2021-05-25T15:48:21Z
t_10,3442,hand time instrument work scale position improve patient,2,I would like to learn more about adapting the hand scalers to the tooth. That is the most difficult part for me as I have trouble visualizing the right adaptation.,2021-05-25T15:57:32Z
t_9,3151,perio probe patient chart perio_chart periodontal area time,8,I need to consider all specific patient factors when determining diagnoses/treatment.,2021-05-25T15:57:47Z
t_3,3231,plan treatment faculty treatment_plan time finding note check,4,Have the cubicle all ready before starting treatment.,2021-05-25T15:57:52Z
t_10,760,hand time instrument work scale position improve patient,2,I would like to go over seating positions beforehand to make sure I know where to sit to be more effective,2021-05-25T16:31:00Z
t_10,3607,hand time instrument work scale position improve patient,2,"It was a very good learning/refresher session. Next time I do a prophy I just want to focus on correctly inserting my perio probe to the long access of the tooth. On the bright side, I got much better as I moved throughout the mouth and my partner agreed.",2021-05-25T16:46:37Z
t_10,1259,hand time instrument work scale position improve patient,2,I think I should work on hand scaling more quickly by having a better flow of instruments. I found myself changing areas and having to flip/swap instruments.,2021-05-25T16:50:05Z
t_6,1806,patient thing time differently thing_differently appointment differently_time oral,17,I think that maybe I should discuss oral hygiene suggestions earlier in the appointment and then review them at the end to better reinforce it with the patient.,2021-05-25T16:52:12Z
t_4,2696,restoration composite margin time tooth prep contact make,9,Clean off flash better,2021-05-25T17:16:51Z
t_3,1701,plan treatment faculty treatment_plan time finding note check,4,"During prophy, pay more attention to the cervicolingual region. I'd also like to make sure not to forget to add everything to the original note. Today I forgot to add the vitality information to the original perio tx note and had to add a second note.",2021-05-25T17:24:47Z
t_10,2806,hand time instrument work scale position improve patient,2,focus more on the furcation of exposed root surfaces,2021-05-25T19:49:55Z
t_2,1241,patient tooth treatment option crown discuss pt time,5,Discuss more treatment options with faculty to get a wider understanding of patient options,2021-05-25T20:31:19Z
t_5,45,calculus area remove molar time tooth check miss,12,I learned that it doesn't hurt to scale the area if you are not sure if the roughness is calculus or CEJ. I appreciated you showing me this and will make sure to do this in the future!,2021-05-25T20:46:09Z
t_10,2474,hand time instrument work scale position improve patient,2,Improve hand scaling abilities so that no residual deposits can be detected. Thank you for your help!,2021-05-25T20:51:54Z
t_5,1098,calculus area remove molar time tooth check miss,12,Be more thorough in the interproximal areas,2021-05-25T20:55:29Z
t_6,3295,patient thing time differently thing_differently appointment differently_time oral,17,I think everything went very well. I think one thing I need to work on is being able to quickly tell when a patients blood pressure is over their normal so that I can either retake it or consult a faculty on how to proceed.,2021-05-25T21:00:16Z
t_6,420,patient thing time differently thing_differently appointment differently_time oral,17,This patient had a fracture on #19 that ultimately needed a crown. We were discussing why a crown would be better than replacing with composite (due to xerostomia and high caries risk) but I think the patient was getting confused and agitated. In the future I would like to discuss the reasoning separately so that I can then relay the information to the patient in a more clear and direct way. (Specifically for this patient because she has severe anxiety),2021-05-25T21:00:27Z
t_5,3441,calculus area remove molar time tooth check miss,12,"One thing that I would like to do differently is begin with areas of most concern. By the time I got to scaling the lingual surfaces of the mandibular anterior teeth, I was limited on time. I also want to focus more on practicing scaling the distal surfaces of the molars. I had trouble adapting hand instrumentation to the areas with furcation involvement as well.",2021-05-25T21:11:47Z
t_3,1791,plan treatment faculty treatment_plan time finding note check,4,One thing that I would like to do differently next time is to have a standardized order that I perform my Intraoral exam by. I think that I will be more efficient if I have a specific order that I do the exam and will also be more consistent with my findings.,2021-05-25T21:13:18Z
t_6,2897,patient thing time differently thing_differently appointment differently_time oral,17,I would like to give more oral hygiene instructions to my patient.,2021-05-25T21:13:48Z
t_10,1728,hand time instrument work scale position improve patient,2,"I would like to work on my hand/finger positioning, including fulcruming, to get better access when instrumenting. I used the gracey 13/14 today for the first time on a patient and as an area-specific instrument, I found myself struggling with getting correct adaptation. I eventually got it but I would like to be more efficient with it and be quicker.",2021-05-25T21:16:17Z
t_10,2751,hand time instrument work scale position improve patient,2,One thing that I would like to do different during the next appointment is to be more comfortable with the hand scalers and to formulate an ordered routine that I perform the prophy in. I felt like I was cleaning the teeth in an unorganized fashion and next time should focus on having a structure to make sure no surface is missed.,2021-05-25T21:16:20Z
t_6,3824,patient thing time differently thing_differently appointment differently_time oral,17,I would like to have a better explanation for the patient on why it is important to treat caries now rather than waiting 6 months,2021-05-25T21:27:32Z
t_5,561,calculus area remove molar time tooth check miss,12,"Do a better job removing plaque on the lingual cervical of the teeth, so I don't miss any caries that may be present.",2021-05-25T21:30:36Z
t_1,1646,patient time appointment today start history faculty exam,3,"I did not request a start check from periodontics before beginning my prophylaxis. This is a grave error and I do not wish to ever repeat it. Next time, for any prophylaxis or periodontal maintenance, I will request a start check from periodontics after I receive my start check to begin my exam from restorative; prophylaxis and exams are not lumped together under the same start check.",2021-05-25T21:31:34Z
t_11,2201,time work appointment efficient exam fast clean speed,1,Next time I  would like to plan ahead for all situations so that I can be more efficient. I would also like to continue to work on my speed.,2021-05-25T21:31:34Z
t_12,2930,caries tooth time lesion confident remove identify stain,14,I would like to be able to more confidently tell the difference between secondary caries and staining.,2021-05-25T21:32:31Z
t_5,2106,calculus area remove molar time tooth check miss,12,"I would like to work faster but also be able to tackle the patients calculus-heavy problem areas. It was difficult to remove calculus from around the lingual bar, and the patient also started to bleed when I went down there, but I feel like thats more of a result of the inflammation and less because of my instrumentation?",2021-05-25T21:32:45Z
t_4,22,restoration composite margin time tooth prep contact make,9,"Thanks so much for your help Dr. Romzick. It was my first restoration in clinic!! I am not used to finishing and polishing because in sim lab we were told to ""put it in perfect"" and that using finishing burs would ""ruin the typodont teeth."" I was lucky to have a D4's help with that. I think the restoration went really well, but I could see where the margin was when I was finished.",2021-05-25T21:36:46Z
t_11,1553,time work appointment efficient exam fast clean speed,1,I would like to have an assistant set up for new patient exams to make the process faster.,2021-05-25T21:37:49Z
t_7,162,dr learn today patient appointment great experience work,10,Thank you so much Dr. Pobocik with your help!! I really appreciated you helping me come up with a treatment plan for my patient. You helped out so much by bringing together all the different specialists to get their input. It was stressful and a lot of new information but it was a great learning experience.,2021-05-25T21:40:57Z
t_5,325,calculus area remove molar time tooth check miss,12,"I missed some calculus on the distal of a rotated anterior, I think this serves as a good reminder to me to look at teeth from multiple angles.",2021-05-25T21:41:15Z
t_9,3689,perio probe patient chart perio_chart periodontal area time,8,I would like to refer to the previous perio chart so I can focus in on areas that need more attention for the new perio chart and for cleaning,2021-05-25T21:45:37Z
t_3,1956,plan treatment faculty treatment_plan time finding note check,4,I would like to coordinate with radio better next time.,2021-05-25T21:57:59Z
t_11,1236,time work appointment efficient exam fast clean speed,1,I would like to have an assistant set up for new pt. Exams.,2021-05-25T22:02:21Z
t_11,2202,time work appointment efficient exam fast clean speed,1,I would like to have an assistant set up for days including new pt exams,2021-05-25T22:04:30Z
t_1,751,patient time appointment today start history faculty exam,3,I definitely need to focus on how much I can fit into one procedure. I was able to get a lot done today but I should have focused on the main things such as the chief complaint and necessary procedures. This is something I need to work on to get the flow of my appointments down but I am just glad that I was able to have the patient leave satisfied today.,2021-05-25T22:06:44Z
t_8,1914,time impression crown make material bite prep patient,11,"Next time I do border molding and final impressions, I will surely have better technique to adequately capture all of the involved muscles in function, and will follow better technique in taking my final impression to prevent air bubbles.",2021-05-25T22:11:28Z
t_2,1182,patient tooth treatment option crown discuss pt time,5,"Unfortunately this appointment didn't quite go as I had hoped, since we couldn't achieve adequate anesthesia. One thing that I looked up when I got home is injection techniques and learning how looking at the IAN anatomy on the panoramic can help with the angle that you approach the IAN block.",2021-05-25T22:27:53Z
t_10,936,hand time instrument work scale position improve patient,2,"I would like to be more efficient on time. I spent a good amount of time on probing and would like to be more efficient, but it is a skill that will come with time. I would also like to improve on adapting the tip one-third of the instrument and I'm looking forward to improving this skill with my future patients.",2021-05-25T22:35:00Z
t_3,2584,plan treatment faculty treatment_plan time finding note check,4,Nothing in particular I would like to do different but for next time I would like to continue with the planned tx plan,2021-05-25T23:05:26Z
t_5,2317,calculus area remove molar time tooth check miss,12,I would like to do a cleaning that involved calculus removal,2021-05-25T23:07:17Z
t_3,3263,plan treatment faculty treatment_plan time finding note check,4,Nothing in particular I would like to do different but I would like to continue the tx we planned clinic session,2021-05-25T23:11:27Z
t_11,349,time work appointment efficient exam fast clean speed,1,I think my main focus will be working on my efficiency and time management. As I get the hang of things more I am hoping this will improve with experience.,2021-05-25T23:11:43Z
t_7,1152,dr learn today patient appointment great experience work,10,"I would like to get better with understanding how dentures fit in with the oral anatomy and how it should ideally contact the alveolar ridge, as well as the buccal and lingual vestibules.",2021-05-25T23:15:15Z
t_9,2050,perio probe patient chart perio_chart periodontal area time,8,I would like to improve my perio probing accuracy and speed without hurting the patient.,2021-05-25T23:57:12Z
t_12,195,caries tooth time lesion confident remove identify stain,14,I would like to be more confident with probing and have better access.,2021-05-25T23:58:25Z
t_10,2372,hand time instrument work scale position improve patient,2,Be more confident and comfortable with instrument selection and adaptation.,2021-05-26T00:11:54Z
t_11,1194,time work appointment efficient exam fast clean speed,1,"I would like to be more systematic about the way I do the cleaning. I was rushing for time toward the end of my appointment and I think if I was more systematic, I wouldnt have been pressed for time.",2021-05-26T00:18:11Z
t_2,2857,patient tooth treatment option crown discuss pt time,5,Further diagnosing could have happened on the tooth that he was in pain about. I wish I remembered to remind him to bring his partial!,2021-05-26T00:41:32Z
t_1,3196,patient time appointment today start history faculty exam,3,Delete previous providers findings on odontogram and put them under my name. At the moment there is a long list of repeated treatments and plans that I will need to update.,2021-05-26T00:57:43Z
t_3,636,plan treatment faculty treatment_plan time finding note check,4,Plan the appointment well. Get more familiarized with Mident,2021-05-26T01:27:18Z
t_1,1448,patient time appointment today start history faculty exam,3,"The patient was taking quite a few medications and as a result I spent more time on the patients health history. I don't regret that necessarily, I was just left with less time to complete perio charting and time for treatment planning. As a result I will work on my time management and work to become more efficient in the clinics as time goes on.",2021-05-26T01:52:53Z
t_11,2380,time work appointment efficient exam fast clean speed,1,"I took longer than I anticipated with my cleaning, but that was for my diligence in trying to remove generalized staining. This was a good learning experience for me to learn how to use my tools better and improve my technique as I could have spent less time in certain areas and saved more time for other parts of the appointment.",2021-05-26T01:59:35Z
t_1,2889,patient time appointment today start history faculty exam,3,Call the perio faculty over right after I finish the exam with restorative and before I begin the cleaning so they have a chance to see the before and the after and provide valuable feedback.,2021-05-26T02:28:04Z
t_5,3223,calculus area remove molar time tooth check miss,12,One thing I would like to do differently is to focus more on the cervical regions of teeth instead of the linguals to ensure all of the calculus deposits have been removed.,2021-05-26T02:41:05Z
t_6,3572,patient thing time differently thing_differently appointment differently_time oral,17,"One thing I would like to do differently is to recognize normal fibrous tissue from a denture ""sore spot"".",2021-05-26T02:45:47Z
t_6,2140,patient thing time differently thing_differently appointment differently_time oral,17,One thing that I would like to do differently next time is managing the time better.,2021-05-26T02:52:39Z
t_1,2356,patient time appointment today start history faculty exam,3,Do not keep appointments with overflow chairs. Request faculty sooner when procedure is taking longer than anticipated to save frustration.,2021-05-26T02:58:18Z
t_11,32,time work appointment efficient exam fast clean speed,1,I would like to have an assistant set up for all prophy appts so I can use the piezo/cavitrons more efficiently.,2021-05-26T03:08:07Z
t_11,1805,time work appointment efficient exam fast clean speed,1,"I know that this was my first ever restoration, but I really was disappointed in my efficiency, or lack thereof. I don't feel that I was going slow because a lot of learning was occurring, but I wish I could have completed the restoration in one appointment. Next time, I would like to work on my efficiency while maintaining quality. I would also like to get more comfortable placing rubber dams on patients. This was also my first non-typodont rubber dam and it was very difficult because I honestly didn't kno",2021-05-26T03:10:27Z
t_2,2312,patient tooth treatment option crown discuss pt time,5,Update findings,2021-05-26T03:51:27Z
t_8,422,time impression crown make material bite prep patient,11,"I will make sure that I have all the materials necessary before I see my pros pt such as PIP paste, bur kit, and pliers. The pt mentioned during the appt that the denture rocks. I called pros faculty who told me I had to make adjustments on the pt's denture. That was the first time I had to make RPD adjustments for a pt. I had never seen the adjustments done like today other than in sim lab. It is a new experience making them for an actual patient.",2021-05-26T03:56:44Z
t_1,3389,patient time appointment today start history faculty exam,3,"Since the patient came an hour and a half late, I wasn't able to complete my goal. Next time I would like to be more organized in regards to the measures taken for her chief complaint.",2021-05-26T04:35:23Z
t_10,144,hand time instrument work scale position improve patient,2,"Patient has five tori, which made it difficult to take PA's. Through today's practice, I would like to become better when I encounter a similar situation next time.",2021-05-26T04:53:17Z
t_11,2978,time work appointment efficient exam fast clean speed,1,Finish on time,2021-05-26T13:33:58Z
t_11,98,time work appointment efficient exam fast clean speed,1,Be more time efficient.,2021-05-26T13:55:28Z
t_4,1985,restoration composite margin time tooth prep contact make,9,I could have spent more time on my interproximal contours before curing so that I didn't have to fix it afterwards with the bard parker.,2021-05-26T14:11:27Z
t_5,755,calculus area remove molar time tooth check miss,12,I would like to learn how to recognize calculus visually when there is not a huge amount of it.,2021-05-26T14:26:08Z
t_1,3664,patient time appointment today start history faculty exam,3,I would like to have a better idea of the patient's periodontal diagnosis and their periodontal treatment history before seeing them for their appointment.,2021-05-26T14:27:40Z
t_9,395,perio probe patient chart perio_chart periodontal area time,8,I didnt anesthetize the patient for the SRP and I definitely should have so that I wasnt scared of hurting her by going deep into the pockets. Next time Ill definitely numb the patient up.,2021-05-26T14:35:24Z
t_11,2980,time work appointment efficient exam fast clean speed,1,I would like to be more efficient with my time during a prophy and get better at adapting the lateral sides of the piezo to the tooth. I would also like to improve at calculus detection with the explorer.,2021-05-26T14:36:48Z
t_11,2934,time work appointment efficient exam fast clean speed,1,I would like to be quicker with using axium.,2021-05-26T14:53:01Z
t_6,3754,patient thing time differently thing_differently appointment differently_time oral,17,"I would work more quickly next time. The patient was in good oral health, and I think I may have been overworking some areas. I want to uphold high quality care for each patient, and improving my working speed will allow me to have time for other tasks or procedures in future appointments.",2021-05-26T14:53:02Z
t_11,94,time work appointment efficient exam fast clean speed,1,I would like to work more quickly and efficiently with the time that I have for Prophy and perio maintenance cases,2021-05-26T15:10:14Z
t_3,2743,plan treatment faculty treatment_plan time finding note check,4,With a patient who has quit a bit of restorative needs I would like to work better on organizing all the information and findings. I hope this will come over time with more experience and treatment planning.,2021-05-26T16:10:58Z
t_1,467,patient time appointment today start history faculty exam,3,I will wait until the perio faculty comes to check the prophy before applying fluoride varnish.,2021-05-26T16:11:11Z
t_2,2190,patient tooth treatment option crown discuss pt time,5,I would like to be more efficient in diagnosing patient pain and finding he best treatment plan. There were a few ways to treat the patients issue involving pain after endo treated tooth with crown. We selected to plan an occlusal guard to be worn at night.,2021-05-26T17:42:44Z
t_5,1307,calculus area remove molar time tooth check miss,12,I would like to do a better job checking for remaining calculus. There were areas that I missed at the CEJ and I would like to be better at finding and removing these deposits.,2021-05-26T17:46:11Z
t_3,261,plan treatment faculty treatment_plan time finding note check,4,"Today was a pretty routine exam and treatment plan. Patient showed up late, so unfortunately we did not have enough time to go over our exam findings together and it was hectic at the end of the appointments",2021-05-26T18:43:27Z
t_8,859,time impression crown make material bite prep patient,11,Study the procedure ahead of time in order to learn what instruments to expect when.,2021-05-26T19:23:26Z
t_3,813,plan treatment faculty treatment_plan time finding note check,4,Know the order of the procedure better of when to call faculty over.,2021-05-26T19:46:40Z
t_9,2733,perio probe patient chart perio_chart periodontal area time,8,I would like to better diagnose gingivitis for my patient.,2021-05-26T20:07:58Z
t_5,2943,calculus area remove molar time tooth check miss,12,"Next time I will pay more attention to the amount of keratinzed gingiva vs non-keratinized gingiva the patient has, especially if they are experiencing gingival recession. Today I learned a lot about the criteria, benefits, and root causes for gingival grafting along the facial mandibular incisors. I will also try to improve my ergonomics to improve both my visibility and posture.",2021-05-26T20:35:52Z
t_10,1945,hand time instrument work scale position improve patient,2,"I would like to improve my ergonomics while probing and hand scaling next time. Although it was my very first prophylaxis on a patient, I did find myself having to bend over often to get better visibility. I also have to do a better job cleaning the distal surface of the second molars.",2021-05-26T20:51:41Z
t_5,2068,calculus area remove molar time tooth check miss,12,One thing I would like to do differently is remember the primary dentition numbers properly and making sure I am retracting the patient's tongue when removing plaque from the left mandibular molars.,2021-05-26T20:58:14Z
t_3,3536,plan treatment faculty treatment_plan time finding note check,4,I would like to be able to anticipate what I might find on radiographs or clinically and present them well. I will start charting them down on a sheet of paper and include all the necessary information.,2021-05-26T21:00:30Z
t_12,1804,caries tooth time lesion confident remove identify stain,14,I am hoping next time to be able to identify the teeth that need to be observed more thoroughly.,2021-05-26T21:00:39Z
t_1,2266,patient time appointment today start history faculty exam,3,Just be more prepared with X-rays and all the information before faculty comes over!,2021-05-26T21:02:00Z
t_8,1115,time impression crown make material bite prep patient,11,"Today I scanned for a bite splint and had quite a few technological issues with the scanner. In retrospect, I wish I had been more confident in doing impressions/facebow/bite registration. Overall, I am happy with the scan and am hopeful that Dr. Mendonca can properly export it tomorrow.",2021-05-26T21:03:00Z
t_8,3738,time impression crown make material bite prep patient,11,I would like to learn more features of the digital scanner,2021-05-26T21:09:12Z
t_8,2262,time impression crown make material bite prep patient,11,"I would like to be prepared for treatment like the occlusal guard. The patient mentioned that she was interested in having one made so I should have gotten the materials sooner in the appointment. We finished on time but I would have liked to have the materials ready so she didn't have to wait around for me to get set up. Other than that, I really liked how this appointment went!",2021-05-26T21:17:03Z
t_10,147,hand time instrument work scale position improve patient,2,I would to improve my speed with the cavitron while being able to be thorough.,2021-05-26T21:36:40Z
t_8,1207,time impression crown make material bite prep patient,11,Next time that I take an alginate impression I would like to capture the depth of the vestibule/other anatomy better in the impression. I would also like to be more efficient with my time while going through surface by surface of each tooth.,2021-05-26T21:47:26Z
t_2,1889,patient tooth treatment option crown discuss pt time,5,"I would have liked to obtain a better panoramic X-ray as the anterior teeth look a little narrow due to the patient's positioning. However, I think the appointment went well and the goals were achieved. Faculty agreed with my findings and the patient was satisfied.",2021-05-26T21:50:11Z
t_5,1417,calculus area remove molar time tooth check miss,12,"I will do my best to clean the posteriors of the most distal molar in the patients mouth. I missed a spot yesterday, which was my mistake.",2021-05-26T22:44:06Z
t_8,163,time impression crown make material bite prep patient,11,This appt was a mess due to my login dilemma. I would like to work at keeping my composure when things go wrong. Part of the problem was that I had to keep leaving my patient to fix the problem.,2021-05-26T22:54:03Z
t_4,2227,restoration composite margin time tooth prep contact make,9,"If there is a large food trap, I will just spray it with water right away to see what is underneath it. I thought that the food trap was just IPX but once I cleaned it there was a large vertical defect. This was something that I could have addressed sooner. I did bring the buccal side to attention during the CHIPS check, but the palatal side was hidden by food.",2021-05-26T22:56:04Z
t_1,3684,patient time appointment today start history faculty exam,3,I saw a D4s patient and never knew how same day referral works. The D4 referred me for prophylaxis and I assisted her for the exam and x-rays. I got to learn the process today.,2021-05-26T23:39:12Z
t_1,1682,patient time appointment today start history faculty exam,3,"This patient was supposed to be at the orthodontist and my first time seeing this patient. Since his appointment was really short with the orthodontist, he wanted to see me as well on his same visit. I had to work with my PCC to arrange a quick appointment for him since there were some empty chairs. 

I would like to know the process on how to do an immediate appointment like this and be more prepared for it next time.",2021-05-26T23:43:43Z
t_3,2676,plan treatment faculty treatment_plan time finding note check,4,"Something I would differently is call faculty over for treatment plan swipes earlier in the appointment when they do not have a long list of students waiting for them, and just have completed swipes ready for them at the end of the appointment. This can help minimize stress for everyone in the clinic.",2021-05-27T00:03:13Z
t_1,2197,patient time appointment today start history faculty exam,3,"Something I would do differently is making sure to call restorative faculty over for an updated exam before calling perio faculty for the perio maintenance. Thank you for that clarification Dr. Yu, it was great working with you as always!",2021-05-27T00:20:24Z
t_11,1002,time work appointment efficient exam fast clean speed,1,"Next time I would like to try to move faster. I felt like I was moving as fast as I could, but I ran out of time. I am not sure how I will ever have time to do a prophy and exam in one appointment!",2021-05-27T00:29:15Z
t_3,2657,plan treatment faculty treatment_plan time finding note check,4,I shouldve asked the pt about her flipper. I was completely unaware that she had one and it ended up changing the tx plan,2021-05-27T00:31:04Z
t_2,3617,patient tooth treatment option crown discuss pt time,5,I would like to be more comfortable having difficult conversations with patients about fees and options when it comes to their treatment. After spending a lot of time discussing radiographs with patients and their different associated fees we did not have enough time to do the perio maintenance and the patient was upset. In the future I feel that I will be more prepared to have these conversations and able to speed up this process so we can get more accomplished.,2021-05-27T00:31:12Z
t_9,3749,perio probe patient chart perio_chart periodontal area time,8,Try to relax and take my time. I got really stressed out and overwhelmed today! I have to remind myself to slow down and focus.,2021-05-27T00:31:14Z
t_6,1639,patient thing time differently thing_differently appointment differently_time oral,17,Educate patient how they can improve their oral hygiene due to the plaque build up on their posterior teeth.,2021-05-27T00:32:30Z
t_8,660,time impression crown make material bite prep patient,11,I wish I could have been more prepared by learning how to do internal referrals.,2021-05-27T00:33:37Z
t_9,1404,perio probe patient chart perio_chart periodontal area time,8,I need to go through and document what patients I have that have vs don't have insurance to determine the exact dates they can come in for cleanings. I didn't realize how strict some of the insurance companies are about recall periods and how they differ.,2021-05-27T00:36:04Z
t_12,1841,caries tooth time lesion confident remove identify stain,14,I would like utilize the air syringe a lot more when determining Caries risk/diagnosis!,2021-05-27T00:36:57Z
t_7,1913,dr learn today patient appointment great experience work,10,I had not prepared any retentive components in the teeth for restoration. Dr. Walcott explained it to me and I understood the concept.,2021-05-27T00:38:51Z
t_8,791,time impression crown make material bite prep patient,11,"When I put the PIP on I didn't put it uniform and ""paint"" it on in the same direction. I will be sure to do this from now on.",2021-05-27T00:40:09Z
t_7,2078,dr learn today patient appointment great experience work,10,"Next time I would like to achieve better moisture control with the rubber dam. I learned a lot today by working with a very knowledgeable and patient D4 and feel much more confident going forward with composite restorations. Thank you for all of your help today, Dr. Jin!",2021-05-27T00:57:33Z
t_2,331,patient tooth treatment option crown discuss pt time,5,"My apologies!! I just realized that I did not submit this fully until right now. I would like to strengthen my ability to differentiate between surfaces that need to be restored and those that can be observed. Additionally, my treatment plan should not be biased or affected by the treatment plan of other providers. For example, if my patient presents requesting fillings per the recommendation of another dentist, it is my duty to first ensure that those surfaces are indeed carious and in need of restoration.",2021-05-27T01:36:31Z
t_2,529,patient tooth treatment option crown discuss pt time,5,"My apologies!! I just realized that I did not submit this fully until right now. I would like to strengthen my ability to differentiate between surfaces that need to be restored and those that can be observed. Additionally, I would like to improve upon my ability to recommend prosthodontics treatment options (e.g. when to recommend a bridge versus implants).",2021-05-27T01:40:27Z
t_2,3504,patient tooth treatment option crown discuss pt time,5,"My apologies!! I just realized that I did not submit this fully until right now. I would like to strengthen my ability to differentiate between surfaces that need to be restored and those that can be observed. Although I eventually hope to be a conservative provider, I feel as though I currently would overtreat patients if I had to make decisions without faculty consultation.",2021-05-27T01:42:32Z
t_5,352,calculus area remove molar time tooth check miss,12,"My apologies!! I just realized that I did not submit this fully until right now. As I am still learning and new to the process of performing prophylaxis, I often struggle with not wanting to cause pain for the patient while removing calculus. This fear often compromises my ability to reach the most difficult areas for calculus formation. I also hope to improve upon my abilities to reach the distal surfaces of third molars during prophylaxis.",2021-05-27T01:44:45Z
t_9,1305,perio probe patient chart perio_chart periodontal area time,8,"One thing that I would like to do differently next time is to first come up with a diagnosis for the patient prior to treating the patient for a prophylaxis. During this appointment I learned a lot of information about how pocket depths and bone loss correspond to the diagnosis of a periodontal patient and how to grade them based on their severity. I also learned that it is critical to avoid future law suites in practice, to document everything and have a diagnosis and reasoning for every procedure.",2021-05-27T01:47:39Z
t_5,1768,calculus area remove molar time tooth check miss,12,"I hope to improve upon my ability to reach the most worrisome areas for calculus accumulationthe mandibular anterior linguals and the distal surfaces of the most posterior molars. I find myself feeling fearful of causing pain to the patient during prophylaxis, which could compromise the efficacy of my treatments.",2021-05-27T01:48:17Z
t_11,302,time work appointment efficient exam fast clean speed,1,I want to work on efficiency/time management.,2021-05-27T01:58:07Z
t_1,2418,patient time appointment today start history faculty exam,3,Inform pt pre med was not needed as it was only an exam.,2021-05-27T01:58:15Z
t_6,710,patient thing time differently thing_differently appointment differently_time oral,17,Next time I will spend some more time looking at the pts occlusion and making sure there arent any interferences,2021-05-27T02:17:02Z
t_5,2754,calculus area remove molar time tooth check miss,12,i would have the pt demonstrate brushing better on the distal molars to make sure there werent any problems and she had a full understanding of where she should be brushing,2021-05-27T02:18:34Z
t_10,1278,hand time instrument work scale position improve patient,2,"I would like to work on my speed and efficiency. This patient had extensive staining which took me quite a while to remove. But I only had to scale 9 teeth, 4 of which were planned for extraction, so only 5 of which removing the stain completely was pertinent. So I felt as if this appointment should have taken less time than it did. I think once I become more comfortable in clinic, and more used to the correct seating positions/instruments for specific areas/the piezo, hopefully working more efficiently wil",2021-05-27T02:36:37Z
t_10,1013,hand time instrument work scale position improve patient,2,"While hand scaling, I used my fingers to provide most of the motion of the instruments, and next time I want to focus on using my wrist to rock the instrument like we learned from Dr. Richards and Prof. McComas.",2021-05-27T03:00:19Z
t_4,2367,restoration composite margin time tooth prep contact make,9,"This was my first experience with removing an existing restoration and placing a core. After taking the matrix band off, my margins were slightly open on the buccal and there was an overhang on the distal. Next time, I want to make sure I condense the composite well along the pulpal floor to ensure that does not happen again.",2021-05-27T11:15:50Z
t_6,3406,patient thing time differently thing_differently appointment differently_time oral,17,"Summarize at the end of the visit and make sure all the patient's questions are answered, especially if they came in with a specific concern.",2021-05-27T14:00:35Z
t_6,1513,patient thing time differently thing_differently appointment differently_time oral,17,I think the appointment went well. Before our next appointment I would like to brush up on RPDs so I have a better understanding on why his premolar is having so much trauma.,2021-05-27T14:10:25Z
t_12,3721,caries tooth time lesion confident remove identify stain,14,I believe that getting better at detecting caries vs stain is something that I want to improve on.,2021-05-27T14:12:03Z
t_5,1036,calculus area remove molar time tooth check miss,12,Speed up.,2021-05-27T14:26:32Z
t_7,2723,dr learn today patient appointment great experience work,10,"next time I would like to hit the gingiva less, but it was in a tough location",2021-05-27T14:46:03Z
t_8,1038,time impression crown make material bite prep patient,11,I would like to have my expected instruments needed set up before seating my pt. Next time.,2021-05-27T14:55:06Z
t_4,3013,restoration composite margin time tooth prep contact make,9,"As discussed, more thorough caries removal, clean margins of supported enamel prepped, adequate contact, and a systematic polishing sequence.",2021-05-27T16:30:21Z
t_7,3782,dr learn today patient appointment great experience work,10,Pay close attention to gingival attachments. I had a great learning experience today with Dr. Edwards!,2021-05-27T16:50:22Z
t_3,2458,plan treatment faculty treatment_plan time finding note check,4,"Next time, I would like to be more prepared with my note and remember to fully complete it before calling over the instructor for check out.",2021-05-27T17:02:02Z
t_8,2014,time impression crown make material bite prep patient,11,"This was both my first bite splint delivery and crown treatment plan, so I appreciate your patience. For the bite splint, I should have looked at the patient's bite in lateral and protrusive movements, rather than simply looking at the articulating paper marks. 

For the crown I was unsure of which crown material to choose, and now I know I should probe and have updated xrays to evaluate periodontal health in that area as well.",2021-05-27T17:05:18Z
t_12,1169,caries tooth time lesion confident remove identify stain,14,"I want to gain more confidence in my caries identification on radiographs and be able to look at that area clinically and determine if a restoration is needed, especially in interproximal areas",2021-05-27T17:06:52Z
t_9,517,perio probe patient chart perio_chart periodontal area time,8,Focus more on bleeding upon probing.,2021-05-27T17:08:23Z
